"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"181","487",31330,38350,-1.04560563917936,-0.981051880011893,"aug",0,1,67.4823257419888,31397.482325742,6952.51767425801
"182","488",32620,39240,0.116693543266565,0.540528795746334,"aug",0,1,69.8459623241573,32689.8459623242,6550.15403767585
"183","497",31890,38520,-0.54104165300128,-0.690412874529982,"aug",0,1,70.9823334843004,31960.9823334843,6559.0176665157
"184","53",32900,39240,0.368975536355604,0.540528795746334,"aug",0,1,69.5188866110301,32969.518886611,6270.48111338897
"185","54",32970,38950,0.432046034627864,0.044732845218374,"aug",0,1,70.4637197773569,33040.4637197774,5909.53628022264
"186","55",32780,39140,0.26085468217459,0.36956467487462,"aug",0,1,69.9003438698458,32849.9003438698,6290.09965613015
"187","56",32680,39150,0.170753970357075,0.386661086961788,"aug",0,1,70.0231156005653,32750.0231156006,6399.97688439944
"188","6",31490,38530,-0.901444500271336,-0.673316462442814,"aug",0,1,70.8705047149612,31560.870504715,6969.12949528504
"189","7",31640,38410,-0.766293432545064,-0.878473407488874,"aug",0,1,70.7871693202218,31710.7871693202,6699.21283067978
"190","716",33400,40000,0.819479095443172,1.83985611437133,"aug",0,1,64.4421774487824,33464.4421774488,6535.55782255121
"191","725",32540,38390,0.0446129738125561,-0.91266623166321,"aug",0,1,71.2005810160811,32611.2005810161,5778.79941898392
"192","726",32320,39460,-0.153608592185973,0.916649861664095,"aug",0,1,69.7075780256125,32389.7075780256,7070.29242197439
"193","727",32400,40000,-0.0815280227319634,1.83985611437133,"aug",0,1,65.5055672069469,32465.5055672069,7534.49443279305
"194","728",33680,38870,1.07176108853221,-0.0920384514790038,"aug",0,1,69.5673057219354,33749.5673057219,5120.43269427807
"195","737",32420,39150,-0.0635078803684579,0.386661086961788,"aug",0,1,70.9342955568131,32490.9342955568,6659.06570444319
"196","738",35850,40000,3.02694653497226,1.83985611437133,"aug",0,1,56.0267255212579,35906.0267255213,4093.97327447874
"197","739",32250,38320,-0.216679090458232,-1.03234111627341,"aug",0,1,70.9483749227852,32320.9483749228,5999.05162507722
"198","740",32770,39950,0.251844610992841,1.75437405393548,"aug",0,1,66.3391359458968,32836.3391359459,7113.6608640541
"199","749",32300,38510,-0.171628734549478,-0.707509286617161,"aug",0,1,71.2043928191193,32371.2043928191,6138.79560718088
"200","750",33280,40000,0.711358241262158,1.83985611437133,"aug",0,1,64.9253625494801,33344.9253625495,6655.07463745052
"201","751",32170,38740,-0.288759659912242,-0.31429180861222,"aug",0,1,71.2311163785707,32241.2311163786,6498.76888362143
"202","752",32010,39810,-0.432920798820267,1.51502428471508,"aug",0,1,66.4651122353159,32076.4651122353,7733.53488776469
"203","761",32640,39350,0.134713685630071,0.728589328705214,"aug",0,1,69.574705339482,32709.5747053395,6640.42529466052
"204","762",33340,38410,0.765418668352668,-0.878473407488874,"aug",0,1,71.3948559567761,33411.3948559568,4998.60514404323
"205","763",32920,39370,0.38699567871911,0.76278215287955,"aug",0,1,66.9692831786049,32986.9692831786,6383.0307168214
"206","764",32130,38650,-0.324799944639246,-0.468159517396765,"aug",0,1,71.2187793141361,32201.2187793141,6448.78122068586
"207","773",32330,39370,-0.144598521004223,0.76278215287955,"aug",0,1,69.8536770128998,32399.8536770129,6970.1463229871
"208","774",32360,39950,-0.117568307458968,1.75437405393548,"aug",0,1,64.9492397991285,32424.9492397991,7525.05076020087
"209","775",33620,40000,1.0177006614417,1.83985611437133,"aug",0,1,64.1404533554507,33684.1404533555,6315.85954664455
"210","776",33180,39420,0.621257529444643,0.848264213315412,"aug",0,1,64.7558678006193,33244.7558678006,6175.24413219938
"211","78",33260,38400,0.693338098898652,-0.895569819576042,"aug",0,1,71.3510855616804,33331.3510855617,5068.64891443832
"212","785",33710,40000,1.09879130207747,1.83985611437133,"aug",0,1,64.0629488021891,33774.0629488022,6225.93705119781
"213","786",32420,38990,-0.0635078803684579,0.113118493567057,"aug",0,1,71.4132753195545,32491.4132753196,6498.58672468044
"214","787",34880,40000,2.15296963034238,1.83985611437133,"aug",0,1,56.0317974283196,34936.0317974283,5063.96820257168
"215","788",31700,38240,-0.712233005454557,-1.16911241297077,"aug",0,1,69.0993347760228,31769.099334776,6470.90066522398
"216","79",32170,37670,-0.288759659912242,-2.14360790193952,"aug",0,1,65.3159158542981,32235.3159158543,5434.6840841457
